asr_result,correct_answer,similarity
上海市汤臣一品的房价,上海市汤臣一品的房价,0.9999999999999998
大概qq抽到张三,打开qq找到张三,0.6331502038986118
热门韩剧,热门韩剧,1.0
皮卡尔多故事,讲个儿童故事,0.5736789315457584
导航去五彩城,导航去五彩城,1.0
导航去朝阳门附近的医院,导航去朝阳门附近的医院,1.0000000000000002
热门电影,热门电影,1.0
达尔文的进化论讲的是什么,达尔文的进化论讲的是什么,1.0
打开王俊凯的微博,打开王俊凯的微博,0.9999999999999998
开启全景拍照模式,开启全景拍照模式,0.9999999999999999
肠胃炎怎么办,肠胃炎怎么办,1.0000000000000002
狼来了猜一个水果,狼来了猜一个水果,0.9999999999999999
打开微信扫一扫付款100元,打开微信扫一扫付款100元,1.0
生肖猪本月的运势如何,生肖猪本月的运势如何,1.0
现在工商银行的股价多少,现在工商银行的股价多少,1.0
今天会出太阳吗,今天会出太阳吗,1.0000000000000002
雪人兄弟游戏的声音,雪人兄弟游戏的声音,0.9999999999999999
明天开一台车吗,明天可以洗车吗,0.7562615409819987
小猪佩奇的自我介绍,小猪佩奇自我介绍,0.8872198388632001
查一下纽约后天天气怎么样,查一下纽约后天天气怎么样,1.0
播放王菲的歌,播放王菲的歌,1.0000000000000002
把妈妈叫个车从五道口去西直门,帮妈妈叫个车从五道口去西直门,0.9507826911389499
最近热吗,最近热吗,1.0000000000000002
我想听张韶涵的歌,我想听张韶涵的歌,1.0
你不是人造革,你不是人造革,0.9999999999999999
今天去赶紧现形,今天几跟几限行,0.5845149401961418
阴阳全虚的时候是十来天,易烊千玺的生日是哪天,0.7041951621884585
给我来张美女图片,给我来张美女图片,1.0000000000000002
单田芳的评书,单田芳的评书,1.0
帮我打开微博本地新闻,帮我打开微博本地新闻,0.9999999999999999
你几岁了,你几岁了,0.9999999999999999
播放瑞希电台,播放蕊希电台,0.8620196307798026
6月1号是星期几,六月一号是星期几,0.7579847748271026
金牛座和处女座的缘分怎么样,金牛座和处女座的缘分怎么样,0.9999999999999999
播放米小圈上学记,播放米小圈上学记,1.0
白羊座是几月份,白羊座是几月份,1.0000000000000002
赖床的好处,赖床的好处,0.9999999999999999
关闭支付宝,关闭支付宝,1.0000000000000002
属猪的和什么属相最配,属猪的和什么属相最配,0.9999999999999998
讲个冷笑话,讲个冷笑话,1.0000000000000002
你会唱歌吗,你会唱歌吗,1.0
剩下你的特点,生肖牛的特点,0.6887418385358675
90后出生属什么,九零年出生属什么,0.8252342412705257
上网搜一下王俊凯的照片,上网搜一下王俊凯的照片,1.0
我想去附近的星巴克,我想去附近的星巴克,1.0
鼻炎患者需要注意什么,鼻炎患者需要注意什么,0.9999999999999999
今后与生活食物相克,莲藕与什么食物相克,0.762678712590992
开始刷机模式,开始刷机模式,1.0000000000000002
搜索便签,搜索便签,1.0
用微信给我发两张照片,用微信给爸发两张照片,0.8870051675526754
赵丽颖的星座,赵丽颖的星座,1.0
发qq给老板说天气不错,发qq给老爸说天气不错哦,0.9452093804138165
吃柚子有什么好处,吃柚子有什么好处,1.0
今天是阴历几月几号,今天是阴历几月几号,1.0
北京外地车限行吗,北京外地车限行吗,1.0
锁屏,锁屏,nan
永和智设计图图片,用后置摄像头录像,0.40453180438526415
发朋友圈说我结婚了,发朋友圈说我结婚啦,0.9488644659174188
我想听吖乖乖去,我想听摇滚歌曲,0.8473111133566557
北京限行限计划,北京限行限几环,0.7899708209599495
熊猫基地几点开门,熊猫基地几点开门,1.0
在鳄鱼上颈椎病,怎么预防颈椎病,0.5126978451987252
小米六壁纸怎么样,小米六配置怎么样,0.8876770424936098
打开微信扫一扫,打开ofo扫一扫,0.6228767906732893
