asr_result,correct_answer,similarity
最近几天可以洗车吗,最近几天可以洗车吗,1.0000000000000002
取消预订,取消预定,0.8905898881317675
海淀区有哪些楼盘,海淀区有哪些楼盘,1.0
北京今天限行吗,北京今天限行吗,1.0
关节痛是什么原因,关节痛是什么原因,1.0000000000000002
瞎子摸鱼,瞎子摸鱼,nan
汽车发动的声音,汽车发动的声音,1.0000000000000002
大江大河,大江大河,1.0000000000000002
北京最近几天适合运动吗,北京最近几天适合运动吗,0.9999999999999999
帮我记一下明天去上海出差,帮我记一下明天去上海出差,1.0
经济之声,经济之声,0.9999999999999998
农历5月5号是哪天,农历五月五号是哪天,0.7078857549777131
皮卡丘的声音,皮卡丘的声音,0.9999999999999999
330加46等于多少,330+46等于多少,0.9273723440742903
为什么总是头皮痒,为什么总是头皮痒,1.0000000000000002
香港有什么必吃的美食,香港有什么必吃的美食,1.0000000000000002
拍小视频,拍小视频,1.0
一英镑等于多少美元,一英镑等于多少美元,1.0
土拨鼠的声音,土拔鼠的声音,0.8696919388151083
今天最高温度多少,今天最高温度多少,0.9999999999999999
上海市闵行区有哪些小区,上海市闵行区有哪些小区,1.0000000000000002
明天有雾霾吗,明天有雾霾吗,1.0000000000000002
过年时拍的照片,过年时拍的照片,1.0
识别文字,识别文字,1.0
太阳系有哪些行星,太阳系有哪些行星,1.0000000000000002
狮子座五大预言,狮子座五大预言,1.0000000000000002
我有一个想法,我有一个想法,1.0
腿痛的原因,腿痛的原因,1.0
不同时期对成绩的看法,不同时期对成绩的看法,1.0000000000000002
今天出门需要带伞吗,今天出门需要带伞吗,1.0000000000000002
既然你诚心诚意地发问了,既然你诚心诚意地发问了,1.0
降低屏幕亮度,降低屏幕亮度,1.0
距离春节还有多少天,距离春节还有多少天,1.0
怎么称呼爸爸的妹妹,怎么称呼爸爸的妹妹,0.9999999999999998
扁桃体炎怎么办,扁桃体炎怎么办,1.0000000000000002
我想查看qq好友的动态,我想查看qq好友的动态,0.9999999999999998
查看qq好友动态,查看qq好友动态,1.0
我要听鬼吹灯,我要听鬼吹灯,1.0000000000000002
美国旅游攻略,美国旅游攻略,1.0
儿歌鞋子,儿歌茄子,0.5920345315550296
说段北京话,说段北京话,1.0
天秤座本周的事业运势,天枰座本周的事业运势,0.8447213441799255
远洋山水的绿化率,远洋山水的绿化率,0.9999999999999998
猕猴桃有什么营养,猕猴桃有什么营养,1.0000000000000002
打开相机并且倒计时三秒自拍,打开相机并且倒计时三秒自拍,1.0
赵薇的老公是谁,赵薇的老公是谁,0.9999999999999998
11月是什么星座,11月是什么星座,1.0
今天的空气质量如何,今天的空气质量如何,1.0
和女朋友吵架的后果,和女朋友吵架的后果,1.0
拨打电话给中国银行,拨打电话给中国银行,1.0
导航去公司,导航去公司,0.9999999999999999
纸是怎么发明的,纸是怎么发明的,1.0
老鼠怎么叫,老鼠怎么叫,1.0
大象怎么叫,大象怎么叫,1.0
中国家庭微信群名,中国家庭微信群名,1.0
明天几点日落,明天几点日落,1.0
成都明天天气,成都明天天气,1.0
要把大象装冰箱总共分几步,要把大象装冰箱总共分几步,1.0000000000000002
皮卡丘走路,皮卡丘走路,1.0
懒床一时爽,懒床一时爽,1.0000000000000002
懒床一时爽,宫保鸡丁需要什么食材,0.31002456118838323
宫保鸡丁需要什么食材,关闭淘宝,0.28834312011113883
关闭淘宝,什么人不适合吃榛子,0.23421896882730753
什么人不适合吃榛子,我的风景照片,0.4546347041985662
我的风景照片,拨打建行电话,0.2962362134219044
拨打建行电话,拨打10086,0.8449583722464118
最近几天可以穿短裙吗,最近几天可以穿短裙吗,1.0000000000000002
来一首立冬的诗,来一首立冬的诗,0.9999999999999999
今天的pm2点五如何,今天的pm2.5如何,1.0
民生银行电话,民生银行电话,1.0000000000000002
给妈妈转账一分钱,给妈妈转账1分钱,0.8358796989174077
查看微博榜单,查看微博榜单,1.0
打开微信,打开微信,1.0
我要看电视剧,用前置摄像头拍小视频,0.379909442676428
补维生素a应该吃什么,我要看电视剧,0.3462577999080166
马化腾的父亲是谁,补维生素a应该吃什么,0.47619578099215615
用大众点评搜一下酒店,马化腾的父亲是谁,0.37981949284319527
核桃适宜人群,用大众点评搜一下酒店,0.358447120982335
小孩儿不听话怎么办,核桃适宜的人群,0.3080704071797642
寒冰飘飘,小孩不听话怎么办,0.25783083617597685
你站在这里不要动我去给你买个橘子,寒冰飘飘,0.3013860105565031
奇葩说第五季,你站在这里不要动我去给你买个橘子,0.3963540105519439
这是什么花,奇葩说第五季,0.3491293450597699
调低音量,这是什么花,0.18852406974324784
属猪的是哪一年生的,调低音量,0.2398007717827491
狮子座有什么缺点,属猪的是哪一年生的,0.5092315071404564
火影忍者,狮子座有什么缺点,0.3092032621704723
惊蛰是几月几号,火影忍者,0.19329037759135698
马云多大了,陪我聊天,0.2316305424921292
成都有什么好吃的,惊蛰是几月几号,0.390759960719527
松鼠怎么叫,马云多大了,0.2516361764157933
我和天上的星星有什么区别呢,成都有什么好吃的,0.7371836327031409
我要充话费,松鼠怎么叫,0.22722668627797413
打电话给妈妈,我和天上的星星有什么区别呢,0.3889363114905263
6月1日是工作日吗,我要充话费,0.255677965369533
fm 974,带电话给妈妈,0.3417838624663623
毛泽东的毕业院校,六月一日是工作日吗,0.3620419680816395
打开支付宝扫一扫,fm97.4,nan
射手座的守护神,毛泽东的毕业院校,0.5537120789304579
小猪佩奇,打开支付宝扫一扫,0.2770619830992139
工商银行是涨了还是跌了,射手座的守护神,0.3432339607487124
北京市华清嘉园的房价,小猪佩奇,0.3192619187074637
公子一万元税后是多少,工商银行是涨了还是跌了,0.6311662460763879
最近有什么节日,北京市华清嘉园的房价,0.34069353515088563
用前置摄像头录像,公子一万元税后是多少,0.319212650382001
生肖猪的性格怎么样,最近有什么节日,0.42329677788918335
处女座今天有桃花运吗,用前置摄像头录像,0.3500667502154986
今天是几月几号,生肖猪的性格怎么样,0.3043040477765402
查找便签,处女座今天有桃花运吗,0.29404303946284693
帮妈妈叫个快车从中关村去五彩城,今天是几月几号,0.30084970405872885
蜜桃姐姐讲故事,查找便签,0.3485498476171094
搜索复仇者联盟三的影评,帮妈妈叫个快车从中关村去五彩城,0.48622551257618585
取消,蜜桃姐姐讲故事,0.10251810795543394
做鱼香肉丝有什么窍门,搜索复仇者联盟3的影评,0.40619947309626214
用qq音乐播放告白气球,取消,0.2063158943428345
上网搜搜进京证怎么办,做鱼香肉丝有什么窍门,0.46914297936083726
赵丽颖的老公,用qq音乐播放告白气球,0.4322750230121672
,上网搜搜进京证怎么办,nan
,赵丽颖的老公,nan
