asr_result,correct_answer,similarity
最近几天可以洗车吗,最近几天可以洗车吗,1.0000000000000002
取消预订,取消预定,0.8905898881317675
海淀区有哪些楼盘,海淀区有哪些楼盘,1.0
北京今天限行吗,北京今天限行吗,1.0
关节痛是什么原因,关节痛是什么原因,1.0000000000000002
瞎子摸鱼,瞎子摸鱼,nan
汽车发动的声音,汽车发动的声音,1.0000000000000002
大江大河,大江大河,1.0000000000000002
北京最近几天适合运动吗,北京最近几天适合运动吗,0.9999999999999999
帮我记一下明天去上海出差,帮我记一下明天去上海出差,1.0
经济之声,经济之声,0.9999999999999998
农历5月5号是哪天,农历五月五号是哪天,0.7078857549777131
皮卡丘的声音,皮卡丘的声音,0.9999999999999999
330加46等于多少,330+46等于多少,0.9273723440742903
为什么总是头皮痒,为什么总是头皮痒,1.0000000000000002
香港有什么必吃的美食,香港有什么必吃的美食,1.0000000000000002
拍小视频,拍小视频,1.0
一英镑等于多少美元,一英镑等于多少美元,1.0
土拨鼠的声音,土拔鼠的声音,0.8696919388151083
今天最高温度多少,今天最高温度多少,0.9999999999999999
上海市闵行区有哪些小区,上海市闵行区有哪些小区,1.0000000000000002
明天有雾霾吗,明天有雾霾吗,1.0000000000000002
过年时拍的照片,过年时拍的照片,1.0
识别文字,识别文字,1.0
太阳系有哪些行星,太阳系有哪些行星,1.0000000000000002
狮子座五大预言,狮子座五大预言,1.0000000000000002
我有一个想法,我有一个想法,1.0
腿痛的原因,腿痛的原因,1.0
不同时期对成绩的看法,不同时期对成绩的看法,1.0000000000000002
今天出门需要带伞吗,今天出门需要带伞吗,1.0000000000000002
既然你诚心诚意地发问了,既然你诚心诚意地发问了,1.0
降低屏幕亮度,降低屏幕亮度,1.0
距离春节还有多少天,距离春节还有多少天,1.0
怎么称呼爸爸的妹妹,怎么称呼爸爸的妹妹,0.9999999999999998
扁桃体炎怎么办,扁桃体炎怎么办,1.0000000000000002
我想查看qq好友的动态,我想查看qq好友的动态,0.9999999999999998
我要听鬼吹灯,查看qq好友动态,0.31024750764273784
美国旅游攻略,我要听鬼吹灯,0.30175257418385454
儿歌茄子,美国旅游攻略,0.2580176995597512
说段北京话,儿歌茄子,0.24476086698241126
天秤座本周的事业运势,说段北京话,0.2230556157472509
远洋山水的绿化率,天枰座本周的事业运势,0.5795310781329361
猕猴桃有什么营养,远洋山水的绿化率,0.38528200596944884
打开相机并且倒计时三秒自拍,猕猴桃有什么营养,0.38278124747238584
赵薇的老公是谁,打开相机并且倒计时三秒自拍,0.4441455880144646
11月是什么星座,赵薇的老公是谁,0.5733352138560976
今天的空气质量如何,11月是什么星座,0.40632389103076494
和女朋友吵架的后果,今天的空气质量如何,0.5028246650634376
拨打电话给中国银行,和女朋友吵架的后果,0.34491819416521324
导航去公司,拨打电话给中国银行,0.42000253306732166
纸是怎么发明的,导航去公司,0.32354486505080376
老鼠怎么叫,纸是怎么发明的,0.552529785578299
大象怎么叫,老鼠怎么叫,0.8183008512294386
中国家庭微信群名,大象怎么叫,0.30497813704109134
明天几点日落,中国家庭微信群名,0.180968010175515
成都明天天气,明天几点日落,0.5833262959449301
要把大象装冰箱总共分几步,成都明天天气,0.34817765273251966
皮卡丘走路,要把大象装冰箱总共分几步,0.43358664235956124
赖床一时爽,皮卡丘走路,0.3848888572300635
宫保鸡丁需要什么食材,懒床一时爽,0.31002456118838323
关闭淘宝,宫保鸡丁需要什么食材,0.28834312011113883
什么人不适合吃榛子,关闭淘宝,0.23421896882730753
我的风景照片,什么人不适合吃榛子,0.4546347041985662
拨打建行电话,我的风景照片,0.2962362134219044
拨打10086,拨打建行电话,0.8449583722464118
最近几天可以穿短裙吗,拨打10086,0.2934715949123654
来一首立冬的诗,最近几天可以穿短裙吗,0.38519754544005635
今天的pm2点五如何,来一首立冬的诗,0.5587543245501521
民生银行电话,今天的pm2.5如何,0.23725067165466354
给妈妈转账一分钱,民生银行电话,0.4551625709177251
查看微博榜单,给妈妈转账1分钱,0.3527557928902407
打开微信,查看微博榜单,0.43834848051439795
用前置摄像头拍小视频,打开微信,0.44080255766727394
我要看电视剧,用前置摄像头拍小视频,0.379909442676428
补维生素a需要应该吃什么,我要看电视剧,0.36072760120997766
马化腾的父亲是谁,补维生素a应该吃什么,0.47619578099215615
用大众点评搜一下酒店,马化腾的父亲是谁,0.37981949284319527
核桃适宜的人群,用大众点评搜一下酒店,0.38010031143973233
小孩不听话怎么办,核桃适宜的人群,0.2882538029924968
寒冰飘飘,小孩不听话怎么办,0.25783083617597685
你站在这里不要动我去给你买个橘子,寒冰飘飘,0.3013860105565031
奇葩说第五季,你站在这里不要动我去给你买个橘子,0.3963540105519439
这是什么花,奇葩说第五季,0.3491293450597699
调低音量,这是什么花,0.18852406974324784
属猪的哪一年生的,调低音量,0.23426890786702242
狮子座什么缺点,属猪的是哪一年生的,0.4442889828569703
火影忍者,狮子座有什么缺点,0.3092032621704723
陪我聊天,火影忍者,0.23848307266402174
这是几月几号,陪我聊天,nan
马云多大了,惊蛰是几月几号,0.22779152602560632
成都有什么好吃的,马云多大了,0.35948413330145895
松鼠怎么叫,成都有什么好吃的,0.4276591926662636
我和天上的星星有什么区别呢,松鼠怎么叫,0.47912045265806535
我要充话费,我和天上的星星有什么区别呢,0.2847854563131767
打电话给妈妈,我要充话费,0.3045762192469032
6月1日是工作日吗,带电话给妈妈,0.3261675803449065
fm 974,六月一日是工作日吗,0.32200407582707374
毛泽东的毕业院校,fm97.4,nan
打开支付宝扫一扫,毛泽东的毕业院校,0.25942636046056317
射手座的守护神,打开支付宝扫一扫,0.24531906466525755
小猪佩奇,射手座的守护神,0.3486203171844142
工商银行是涨了还是跌了,小猪佩奇,0.3026127391320784
北京市华清嘉园的房价,工商银行是涨了还是跌了,0.4803035415555733
工资一万元税后是多少,北京市华清嘉园的房价,0.4169394256687141
最近有什么节日,公子一万元税后是多少,0.4669031220480853
用前置摄像头录像,最近有什么节日,0.34391425006642
生肖猪的性格怎么样,用前置摄像头录像,0.34135453291481094
处女座今天有桃花运吗,生肖猪的性格怎么样,0.5007886356387896
今天是几月几号,处女座今天有桃花运吗,0.4997780360852019
查找便签,今天是几月几号,0.23381844058630055
帮妈妈叫个快车从中关村去五彩城,查找便签,0.405069572937985
蜜桃姐姐讲故事,帮妈妈叫个快车从中关村去五彩城,0.4576036488320348
搜索复仇者联盟三的影评,蜜桃姐姐讲故事,0.4202810273333416
取消,搜索复仇者联盟3的影评,0.24950219321783257
用鱼香肉丝有什么窍门,取消,0.22014995412415234
用qq音乐播放告白气球,做鱼香肉丝有什么窍门,0.45013786201239386
上网搜索进京证怎么办,用qq音乐播放告白气球,0.4804501519263189
赵丽颖的老公,上网搜搜进京证怎么办,0.32722625291715035
查看qq好友动态,赵丽颖的老公,0.3849039955017434
