asr_result,correct_answer,similarity
查看qq好友动态,最近几天可以洗车吗,0.36078681948876784
美国旅游攻略,取消预定,0.28934747646115394
天秤座本周的诗人运势,海淀区有哪些楼盘,0.35368527001250494
中国家庭微信群名,北京今天限行吗,0.3144470862477153
最近几天可以洗车吗,关节痛是什么原因,0.4015942024992722
取消预订,瞎子摸鱼,nan
海淀区有哪些楼盘,汽车发动的声音,0.385735807646011
北京今天限行吗,大江大河,0.15424986982609504
关节痛是什么原因,北京最近几天适合运动吗,0.41474263515280674
瞎子摸鱼,帮我记一下明天去上海出差,nan
汽车发动的声音,经济之声,0.37024248236864676
大江大河,农历五月五号是哪天,0.2261288213198066
北京最近几天适合运动吗,皮卡丘的声音,0.3327435279721045
帮我记一下明天去上海出差,330+46等于多少,0.37835737644791784
经济之声,为什么总是头皮痒,0.2113437904602785
农历5月5号是哪天,香港有什么必吃的美食,0.42517856820920114
皮卡丘的声音,拍小视频,0.33745646386644756
330加46等于多少,一英镑等于多少美元,0.7248242849588202
为什么总是头皮痒,土拔鼠的声音,0.31641155660485987
香港有什么必吃的美食,今天最高温度多少,0.385824252918565
拍小视频,上海市闵行区有哪些小区,0.34948759607295676
一英镑等于多少美元,明天有雾霾吗,0.343638922816958
土拨鼠的声音,过年时拍的照片,0.5498049290132919
今天最高温度多少,识别文字,0.30380873732086433
上海市闵行区有哪些小区,太阳系有哪些行星,0.7001299747078898
明天有雾霾吗,狮子座五大预言,0.3181934265613398
过年时拍的照片,我有一个想法,0.37251141205225025
识别文字,腿痛的原因,0.278738122042126
太阳系有哪些行星,不同时期对成绩的看法,0.47922218047109516
狮子座五大预言,今天出门需要带伞吗,0.2999567677743763
我有一个想法,既然你诚心诚意地发问了,0.5083195918166202
腿疼的原因,降低屏幕亮度,0.3934998809200878
不同时期对成绩的看法,距离春节还有多少天,0.43292051948809135
今天出门需要带伞吗,怎么称呼爸爸的妹妹,0.4136158940900893
既然你诚心诚意地发问了,扁桃体炎怎么办,0.3692247150660392
降低屏幕亮度,我想查看qq好友的动态,0.41339554936262735
距离春节还有多少天,查看qq好友动态,0.3517823146349096
怎么称呼爸爸的妹妹,我要听鬼吹灯,0.3895713522881185
扁桃体炎怎么办,美国旅游攻略,0.23780436244121783
我想查看qq好友的动态,儿歌茄子,0.31410951928864567
我要听鬼吹灯,说段北京话,0.281749354289019
二割绳子,天枰座本周的事业运势,0.2743563880911357
说段北京话,远洋山水的绿化率,0.3037239284815003
远洋山水的绿化率,猕猴桃有什么营养,0.38528200596944884
猕猴桃有什么营养,打开相机并且倒计时三秒自拍,0.38278124747238584
打开相机并且倒计时三秒自拍,赵薇的老公是谁,0.4441455880144646
赵薇的老公是谁,11月是什么星座,0.5733352138560976
11月是什么星座,今天的空气质量如何,0.40632389103076494
今天的空气质量如何,和女朋友吵架的后果,0.5028246650634376
和女朋友吵架的后果,拨打电话给中国银行,0.34491819416521324
拨打电话给中国银行,导航去公司,0.42000253306732166
导航去公司,纸是怎么发明的,0.32354486505080376
只是怎么发明的,老鼠怎么叫,0.567694684247818
老鼠怎么叫,大象怎么叫,0.8183008512294386
大象怎么叫,中国家庭微信群名,0.30497813704109134
明天几点日落,明天几点日落,1.0
成都明天天气,成都明天天气,1.0
要把大象装冰箱总共分几步,要把大象装冰箱总共分几步,1.0000000000000002
皮卡丘走路,皮卡丘走路,1.0
懒虫一时爽,懒床一时爽,0.9467858912661388
宫保鸡丁需要什么食材,宫保鸡丁需要什么食材,1.0
关闭淘宝,关闭淘宝,0.9999999999999998
什么人不适合吃榛子,什么人不适合吃榛子,1.0
我的风景照片,我的风景照片,1.0
拨打建行电话,拨打建行电话,1.0
拨打10086,拨打10086,1.0000000000000002
最近几天可以穿短裙吗,最近几天可以穿短裙吗,1.0000000000000002
来一首立冬的诗,来一首立冬的诗,0.9999999999999999
今天的pm2点五如何,今天的pm2.5如何,1.0
民生银行电话,民生银行电话,1.0000000000000002
给妈妈转账一分钱,给妈妈转账1分钱,0.8358796989174077
查看微博榜单,查看微博榜单,1.0
打开微信,打开微信,1.0
用前置摄像头拍小视频,用前置摄像头拍小视频,1.0
我要看电视剧,我要看电视剧,0.9999999999999998
补维生素a应该吃什么,补维生素a应该吃什么,0.9999999999999999
马化腾的父亲是谁,马化腾的父亲是谁,1.0
用大众点评搜一下酒店,用大众点评搜一下酒店,1.0
核桃适宜的人群,核桃适宜的人群,0.9999999999999999
小孩不听话怎么办,小孩不听话怎么办,0.9999999999999999
寒冰飘飘,寒冰飘飘,1.0000000000000002
你站在这里不要动我去给你买个橘子,你站在这里不要动我去给你买个橘子,0.9999999999999998
奇葩说第五季,奇葩说第五季,0.9999999999999999
这是什么花,这是什么花,1.0
调低音量,调低音量,1.0
属猪的是哪一年生的,属猪的是哪一年生的,0.9999999999999998
狮子座有什么缺点,狮子座有什么缺点,1.0000000000000002
火影忍者,火影忍者,1.0
陪我聊天,陪我聊天,0.9999999999999998
惊蛰是几月几号,惊蛰是几月几号,1.0000000000000002
马云多大了,马云多大了,1.0
成都有什么好吃的,成都有什么好吃的,0.9999999999999999
松鼠怎么叫,松鼠怎么叫,1.0
我和天上的星星有什么区别呢,我和天上的星星有什么区别呢,1.0
我要充话费,我要充话费,0.9999999999999999
打电话给妈妈,带电话给妈妈,0.861662764828518
6月1日是工作日吗,六月一日是工作日吗,0.7313781723675581
fm 974,fm97.4,nan
毛泽东的毕业院校,毛泽东的毕业院校,1.0000000000000002
打开支付宝扫一扫,打开支付宝扫一扫,1.0
射手座的守护神,射手座的守护神,1.0
小猪佩奇,小猪佩奇,1.0
工商银行是涨了还是跌了,工商银行是涨了还是跌了,1.0
北京市华清佳苑的房价,北京市华清嘉园的房价,0.9999999999999998
工资一万元税后是多少,公子一万元税后是多少,0.8733892135797667
最近有什么节日,最近有什么节日,0.9999999999999999
用前置摄像头录像,用前置摄像头录像,0.9999999999999999
生肖猪的性格怎么样,生肖猪的性格怎么样,0.9999999999999999
处女座今天有桃花运吗,处女座今天有桃花运吗,1.0000000000000002
今天是几月几号,今天是几月几号,1.0000000000000002
查找便签,查找便签,1.0
帮妈妈叫个快车从中关村去五彩城,帮妈妈叫个快车从中关村去五彩城,1.0000000000000002
蜜桃姐姐讲故事,蜜桃姐姐讲故事,1.0
搜索复仇者联盟三的影评,搜索复仇者联盟3的影评,0.9340765164021975
取消,取消,1.0
做鱼香肉丝有什么窍门,做鱼香肉丝有什么窍门,1.0
用qq音乐播放告白气球,用qq音乐播放告白气球,1.0000000000000002
上网搜索进京证怎么办,上网搜搜进京证怎么办,0.8879947648971573
赵丽颖的老公,赵丽颖的老公,1.0
